Kategorie,Familie,Material,Bauform,Serie/Verbindungstyp,Metrisch/UNC,Type,PN [bar],filename [.stp]
2-way ball valves for gas with threaded connections.xlsx,BKH,Stainless Steel,,DIN 2353 - ISO 8434-1 HEAVY SERIES,,BKH-DN16-20S,400,BKH-DN16-20S-G
2-way ball valves for gas with threaded connections.xlsx,BKH,Stainless Steel,,DIN 2353 - ISO 8434-1 HEAVY SERIES,,BKH-DN20-25S,315,BKH-DN20-25S-G
2-way ball valves for gas with threaded connections.xlsx,BKH,Stainless Steel,,DIN 2353 - ISO 8434-1 HEAVY SERIES,,BKHP420-DN20-25S,420,-
2-way ball valves for gas with threaded connections.xlsx,BKH,Stainless Steel,,DIN 2353 - ISO 8434-1 HEAVY SERIES,,BKH-DN25-30S,315,BKH-DN25-30S-G
2-way ball valves for gas with threaded connections.xlsx,BKH,Stainless Steel,,DIN 2353 - ISO 8434-1 HEAVY SERIES,,BKHP420-DN25-30S,420,-
2-way ball valves for gas with threaded connections.xlsx,BKH,Stainless Steel,,DIN 2353 - ISO 8434-1 HEAVY SERIES,,BKH-DN25/32-38S,315,BKH-DN25_32-38S-G
2-way ball valves for gas with threaded connections.xlsx,BKH,Stainless Steel,,SAE J514/ISO/DIS11926-1 FEMALE THREAD,,BKH-DN6-7/16" UNF,500,BKH-DN6-7_16 UNF-G
2-way ball valves for gas with threaded connections.xlsx,BKH,Stainless Steel,,SAE J514/ISO/DIS11926-1 FEMALE THREAD,,BKH-DN10-9/16" UNF,500,BKH-DN10-9_16 UNF-G
2-way ball valves for gas with threaded connections.xlsx,BKH,Stainless Steel,,SAE J514/ISO/DIS11926-1 FEMALE THREAD,,BKH-DN13-3/4" UNF,500,BKH-DN13-3_4 UNF-G
2-way ball valves for gas with threaded connections.xlsx,BKH,Stainless Steel,,SAE J514/ISO/DIS11926-1 FEMALE THREAD,,BKH-DN20-1 1/16" UN,315,BKH-DN20-1 1_16 UN-G
2-way ball valves for gas with threaded connections.xlsx,BKH,Stainless Steel,,SAE J514/ISO/DIS11926-1 FEMALE THREAD,,BKHP420-DN20-1 1/16" UN,420,-
2-way ball valves for gas with threaded connections.xlsx,BKH,Stainless Steel,,SAE J514/ISO/DIS11926-1 FEMALE THREAD,,BKH-DN25-1 5/16" UN,315,BKH-DN25-1 5_16 UN-G
2-way ball valves for gas with threaded connections.xlsx,BKH,Stainless Steel,,SAE J514/ISO/DIS11926-1 FEMALE THREAD,,BKHP420-DN25-1 5/16" UN,420,-
2-way ball valves for gas with threaded connections.xlsx,MKHP,Steel,,DIN ISO 228 FEMALE THREAD,,MKHP-DN32-G1 1/4,350,MKHP-DN32-G1 1_4-STL-G
2-way ball valves for gas with threaded connections.xlsx,MKHP,Steel,,DIN ISO 228 FEMALE THREAD,,MKHP-DN40-G1 1/2,350,MKHP-DN40-G1 1_2-STL-G
2-way ball valves for gas with threaded connections.xlsx,MKHP,Steel,,DIN ISO 228 FEMALE THREAD,,MKHP-DN50-G2,350,MKHP-DN50-G2-STL-G
2-way ball valves for gas with threaded connections.xlsx,MKHP,Steel,,ANSI B1.20.1 NPT FEMALE THREAD,,MKHP-DN32-1 1/4" NPT,350,MKHP-DN32-1 1_4 NPT-STL-G
2-way ball valves for gas with threaded connections.xlsx,MKHP,Steel,,ANSI B1.20.1 NPT FEMALE THREAD,,MKHP-DN40-1 1/2" NPT,350,MKHP-DN40-1 1_2 NPT-STL-G
2-way ball valves for gas with threaded connections.xlsx,MKHP,Steel,,ANSI B1.20.1 NPT FEMALE THREAD,,MKHP-DN50-2" NPT,350,MKHP-DN50-2 NPT-STL-G
2-way ball valves for gas with threaded connections.xlsx,MKHP,Steel,,DIN 2353 - ISO 8434-1 LIGHT SERIES,,MKHP-DN32-35L,350,MKHP-DN32-35L-STL-G
